"year","metric","seed","Data","Stat","Word2Vec Settings","Controls","Text","Controls + Text","LIWC","Controls + LIWC","Controls + LIWC + Text"
2007,"auc",25,"abstract, predicting new from old","Test AUC","sg0_window3_dim100_epochs50_stopwords1",0.557356914762957,0.624293785310734,0.633873741095554,0.539056742815033,0.558216654384672,0.615819209039548
2007,"auc",2025,"abstract, predicting new from old","Test AUC","sg0_window3_dim100_epochs50_stopwords1",0.557356914762957,0.624293785310734,0.633873741095554,0.551338737410956,0.558462294276591,0.616924588553181
2007,"auc",42,"abstract, predicting new from old","Test AUC","sg0_window3_dim100_epochs50_stopwords1",0.554409236059936,0.625644804716286,0.63608450012282,0.548513878653893,0.561164333087693,0.617415868337018
2007,"auc",1991,"abstract, predicting new from old","Test AUC","sg0_window3_dim100_epochs50_stopwords1",0.554409236059936,0.624293785310734,0.631662982068288,0.550233357897323,0.558462294276591,0.615819209039548
2007,"auc",777,"abstract, predicting new from old","Test AUC","sg0_window3_dim100_epochs50_stopwords1",0.552689756816507,0.62662736428396,0.63608450012282,0.546057479734709,0.561164333087693,0.618152788012773
2007,"auc",331,"abstract, predicting new from old","Test AUC","sg0_window3_dim100_epochs50_stopwords1",0.552689756816507,0.624539425202653,0.63608450012282,0.547899778924097,0.562515352493245,0.617415868337018
2007,"auc",909,"abstract, predicting new from old","Test AUC","sg0_window3_dim100_epochs50_stopwords1",0.554409236059936,0.624539425202653,0.633873741095554,0.546057479734709,0.561164333087693,0.617415868337018
2007,"auc",58,"abstract, predicting new from old","Test AUC","sg0_window3_dim100_epochs50_stopwords1",0.555146155735691,0.624539425202653,0.633873741095554,0.547899778924097,0.562146892655367,0.617415868337018
2007,"auc",531,"abstract, predicting new from old","Test AUC","sg0_window3_dim100_epochs50_stopwords1",0.554409236059936,0.62662736428396,0.63608450012282,0.546303119626627,0.560673053303857,0.617415868337018
2007,"auc",9720,"abstract, predicting new from old","Test AUC","sg0_window3_dim100_epochs50_stopwords1",0.554409236059936,0.624539425202653,0.634733480717269,0.54433800049128,0.560673053303857,0.616801768607222
2007,"brier",25,"abstract, predicting new from old","Test Brier score","sg0_window3_dim100_epochs50_stopwords1",0.238869788557845,0.271851590501048,0.260767660559173,0.260478243503763,0.242294822881489,0.262561933139658
2007,"brier",2025,"abstract, predicting new from old","Test Brier score","sg0_window3_dim100_epochs50_stopwords1",0.236968772575506,0.253305408317401,0.245871172754117,0.333185112992055,0.2402029331948,0.251143918595054
2007,"brier",42,"abstract, predicting new from old","Test Brier score","sg0_window3_dim100_epochs50_stopwords1",0.245096736111613,0.276254657235023,0.256857522545512,0.34790379595511,0.245022248123426,0.262561933139658
2007,"brier",1991,"abstract, predicting new from old","Test Brier score","sg0_window3_dim100_epochs50_stopwords1",0.241588076689317,0.256419631985923,0.242688507541504,0.295265079516526,0.242294822881489,0.251143918595054
2007,"brier",777,"abstract, predicting new from old","Test Brier score","sg0_window3_dim100_epochs50_stopwords1",0.245096736111613,0.271851590501048,0.260767660559173,0.36721892852689,0.252222432372946,0.26641891376938
2007,"brier",331,"abstract, predicting new from old","Test Brier score","sg0_window3_dim100_epochs50_stopwords1",0.245096736111613,0.263582248063343,0.256857522545512,0.36721892852689,0.2565505791246,0.262561933139658
2007,"brier",909,"abstract, predicting new from old","Test Brier score","sg0_window3_dim100_epochs50_stopwords1",0.241588076689317,0.263582248063343,0.253025587796697,0.36721892852689,0.248351917337438,0.26641891376938
2007,"brier",58,"abstract, predicting new from old","Test Brier score","sg0_window3_dim100_epochs50_stopwords1",0.241588076689317,0.271851590501048,0.256857522545512,0.36721892852689,0.2565505791246,0.26641891376938
2007,"brier",531,"abstract, predicting new from old","Test Brier score","sg0_window3_dim100_epochs50_stopwords1",0.245096736111613,0.267603208555176,0.26470605627845,0.36721892852689,0.245022248123426,0.262561933139658
2007,"brier",9720,"abstract, predicting new from old","Test Brier score","sg0_window3_dim100_epochs50_stopwords1",0.245096736111613,0.256419631985923,0.260767660559173,0.288368623726633,0.245022248123426,0.258685487220248
2007,"auc",25,"abstract, predicting new from old","Test AUC","sg1_window3_dim100_epochs50_stopwords1",0.557356914762957,0.623679685580938,0.633505281257676,0.539056742815033,0.558216654384672,0.627241464013756
2007,"auc",2025,"abstract, predicting new from old","Test AUC","sg1_window3_dim100_epochs50_stopwords1",0.557356914762957,0.624293785310734,0.633505281257676,0.551338737410956,0.558462294276591,0.626995824121837
2007,"auc",42,"abstract, predicting new from old","Test AUC","sg1_window3_dim100_epochs50_stopwords1",0.554409236059936,0.623679685580938,0.633505281257676,0.548513878653893,0.561164333087693,0.627978383689511
2007,"auc",1991,"abstract, predicting new from old","Test AUC","sg1_window3_dim100_epochs50_stopwords1",0.554409236059936,0.622819945959224,0.633996561041513,0.550233357897323,0.558462294276591,0.627241464013756
2007,"auc",777,"abstract, predicting new from old","Test AUC","sg1_window3_dim100_epochs50_stopwords1",0.552689756816507,0.624293785310734,0.632522721690002,0.546057479734709,0.561164333087693,0.631908621960206
2007,"auc",331,"abstract, predicting new from old","Test AUC","sg1_window3_dim100_epochs50_stopwords1",0.552689756816507,0.623679685580938,0.633505281257676,0.547899778924097,0.562515352493245,0.629575042986981
2007,"auc",909,"abstract, predicting new from old","Test AUC","sg1_window3_dim100_epochs50_stopwords1",0.554409236059936,0.624293785310734,0.632522721690002,0.546057479734709,0.561164333087693,0.632031441906166
